CONCEPT				POLARITY		INTENSITY
007				negative		-0.559
100_plus			positive		0.521
11b				positive		0.559
1206				negative		-0.639
13_o_clock			negative		-0.578
154_media			negative		-0.566
302				negative		-0.571
4d				positive		0.57
5c				negative		-0.587
8456				positive		0.565
a_jay				negative		-0.645
aapu				negative		-0.543
aathaa				positive		0.629
abalone				positive		0.617
abang				positive		0.553
abang_berg			positive		0.506
abang_bod			positive		0.573
abang_body			positive		0.579
abang_sapau			positive		0.537
abashed				negative		-0.622
abbb				negative		-0.578
abide				positive		0.586
abide_law			positive		0.645
abit_the			negative		-0.589
able				positive		0.601
abnormal			negative		-0.652
aboriginal			negative		-0.627
above_average			positive		0.556
abrupt_policy_reversal		negative		-0.599
abscond				negative		-0.545
absent				negative		-0.601
absent_without_official_leave	negative		-0.555
absurd				negative		-0.61
abundant			positive		0.619
abundant_customer		positive		0.575
abundant_reward			positive		0.544
abuse_power			negative		-0.527
acbc				negative		-0.553
acbckns				negative		-0.609
accede				positive		0.66
accept				positive		0.586
accept_alternative		positive		0.66
accept_reality			negative		-0.49
acceptable			positive		0.548
accessible			positive		0.649
accident			negative		-0.589
accommodate			positive		0.583
accommodating			positive		0.473
accompany			positive		0.552
accompany_child			negative		-0.614
accomplice			negative		-0.572
accomplish			positive		0.568
accountable			negative		-0.557
accuracy			positive		0.554
accurate			positive		0.648
accuse				negative		-0.485
achar				positive		0.531
ache				negative		-0.592
achievable			positive		0.518
achieved			positive		0.564
aci				positive		0.572
acknowledge			positive		0.586
acknowledgement			negative		-0.576
acknowledgement_form		negative		-0.639
acne				negative		-0.56
act				negative		-0.506
act_ah_beng			negative		-0.575
act_ah_lian			negative		-0.6
act_angry			negative		-0.517
act_atas			negative		-0.545
act_baik			negative		-0.578
act_beng			negative		-0.578
act_beng_beh_beng		negative		-0.56
act_beng_buay_beng		negative		-0.591
act_besar			negative		-0.637
act_big				negative		-0.552
act_big_beh_big			negative		-0.538
act_big_buay_big		negative		-0.578
act_bijak			negative		-0.586
act_blur			negative		-0.606
act_blur_live_longer		negative		-0.629
act_bodoh			negative		-0.645
act_busy			negative		-0.504
act_cantik			negative		-0.531
act_chio			negative		-0.574
act_chio_beh_chio		negative		-0.601
act_chio_buay_chio		negative		-0.549
act_class			negative		-0.55
act_classy			negative		-0.531
act_comel			negative		-0.588
act_cool			negative		-0.495
act_cool_beh_cool		negative		-0.588
act_cool_buay_cool		negative		-0.553
act_cute			negative		-0.555
act_cute_beh_cute		negative		-0.583
act_cute_beh_cute_kanasai	negative		-0.632
act_cute_buay_cute		negative		-0.565
act_cute_buay_cute_kanasai	negative		-0.609
act_dao				negative		-0.538
act_fierce			negative		-0.569
act_fierce_beh_fierce		negative		-0.6
act_fierce_buay_fierce		negative		-0.578
act_funny			negative		-0.535
act_funny_beh_funny		negative		-0.53
act_funny_buay_funny		negative		-0.577
act_garang			negative		-0.641
act_gerek			negative		-0.513
act_good			negative		-0.622
act_handsome			negative		-0.55
act_hensem			negative		-0.574
act_hot				negative		-0.6
act_hot_beh_hot			negative		-0.631
act_hot_buay_hot		negative		-0.583
act_jamb			negative		-0.544
act_jambu			negative		-0.642
act_kaya			negative		-0.584
act_ke_ai			negative		-0.489
act_ke_lian			negative		-0.611
act_kelakar			negative		-0.582
act_kesian			negative		-0.608
act_kiut			negative		-0.548
act_kiut_beh_kiut		negative		-0.609
act_kiut_beh_kiut_kanasai	negative		-0.529
act_kiut_buay_kiut		negative		-0.604
act_kiut_buay_kiut_kanasai	negative		-0.614
act_kuai			negative		-0.569
act_lawa			negative		-0.583
act_lian			negative		-0.613
act_lian_beh_lian		negative		-0.592
act_lian_buay_lian		negative		-0.643
act_lomantic			negative		-0.563
act_macho			negative		-0.563
act_marah			negative		-0.511
act_mat				negative		-0.591
act_mat_salleh			negative		-0.614
act_minah			negative		-0.567
act_muda			negative		-0.544
act_nice			negative		-0.547
act_of_faith			positive		0.549
act_of_gratitude		positive		0.524
act_pandai			negative		-0.508
act_pelat			negative		-0.596
act_pretty			negative		-0.593
act_rich			negative		-0.606
act_rich_beh_rich		negative		-0.603
act_rich_buay_rich		negative		-0.611
act_romantic			negative		-0.634
act_sachok			negative		-0.649
act_sad				negative		-0.5
act_sedih			negative		-0.52
act_sek				negative		-0.551
act_seksi			negative		-0.537
act_seksi_beh_seksi		negative		-0.512
act_seksi_buay_seksi		negative		-0.569
act_sexy			negative		-0.597
act_sexy_beh_sexy		negative		-0.574
act_sexy_buay_sexy		negative		-0.604
act_shuai			negative		-0.569
act_shuai_beh_shuai		negative		-0.533
act_shuai_buay_shuai		negative		-0.549
act_sibuk			negative		-0.572
act_silly			negative		-0.545
act_slim			negative		-0.62
act_smart			negative		-0.543
act_smart_beh_smart		negative		-0.558
act_smart_buay_smart		negative		-0.562
act_stupid			negative		-0.603
act_sweet			negative		-0.628
act_sweet_beh_sweet		negative		-0.533
act_sweet_buay_sweet		negative		-0.586
act_tall			negative		-0.58
act_tall_beh_tall		negative		-0.562
act_tall_buay_tall		negative		-0.499
act_terror			negative		-0.609
act_tough			negative		-0.553
act_yige			negative		-0.562
act_young			negative		-0.592
action				negative		-0.505
action_ah_beng			negative		-0.546
action_ah_lian			negative		-0.543
action_angry			negative		-0.567
action_baik			negative		-0.599
action_bedek			negative		-0.561
action_beng			negative		-0.5
action_besar			negative		-0.524
action_big			negative		-0.585
action_bijak			negative		-0.482
action_blur			negative		-0.578
action_bodoh			negative		-0.553
action_busy			negative		-0.596
action_cantik			negative		-0.489
action_chio			negative		-0.609
action_class			negative		-0.588
action_classy			negative		-0.563
action_comel			negative		-0.556
action_cool			negative		-0.591
action_cute			negative		-0.561
action_fierce			negative		-0.614
action_funny			negative		-0.576
action_garang			negative		-0.596
action_gerek			negative		-0.584
action_good			negative		-0.601
action_handsome			negative		-0.543
action_hensem			negative		-0.526
action_hot			negative		-0.6
action_jamb			negative		-0.575
action_jambu			negative		-0.562
